전월세구분,dong,도로명,시군구,번지,도로조건,계약면적(㎡),계약년월,계약일,보증금(만원),월세(만원),건축년도,address
월세,인후동1가,안골4길,4,4,4,4,4,4,4,4,4,4
월세,인후동1가,안덕원로,4,4,4,4,4,4,4,4,2,4
월세,인후동1가,인봉3길,5,5,5,5,5,5,5,5,3,5
월세,인후동1가,인후1길,1,1,1,1,1,1,1,1,1,1
월세,인후동1가,인후2길,1,1,1,1,1,1,1,1,1,1
월세,인후동1가,인후3길,5,5,5,5,5,5,5,5,4,5
월세,인후동1가,인후4길,1,1,1,1,1,1,1,1,1,1
월세,인후동1가,인후5길,5,5,5,5,5,5,5,5,4,5
월세,인후동1가,인후6길,4,4,4,4,4,4,4,4,4,4
월세,인후동1가,작은모래내4길,1,1,1,1,1,1,1,1,0,1
월세,인후동1가,정언신로,6,6,6,6,6,6,6,6,5,6
월세,인후동1가,진버들1길,4,4,4,4,4,4,4,4,3,4
월세,인후동1가,진버들2길,2,2,2,2,2,2,2,2,1,2
월세,인후동1가,진버들3길,1,1,1,1,1,1,1,1,1,1
월세,인후동1가,진버들4길,4,4,4,4,4,4,4,4,1,4
월세,인후동1가,팽나무1길,4,4,4,4,4,4,4,4,3,4
월세,인후동1가,팽나무2길,1,1,1,1,1,1,1,1,1,1
월세,인후동1가,팽나무3길,12,12,12,12,12,12,12,12,10,12
월세,인후동1가,팽나무4길,12,12,12,12,12,12,12,12,10,12
월세,인후동1가,팽나무5길,3,3,3,3,3,3,3,3,3,3
월세,인후동1가,팽나무6길,24,24,24,24,24,24,24,24,7,24
월세,인후동1가,한배미1길,12,12,12,12,12,12,12,12,10,12
월세,인후동1가,한배미2길,2,2,2,2,2,2,2,2,2,2
월세,인후동1가,한배미3길,8,8,8,8,8,8,8,8,6,8
월세,인후동1가,한배미4길,17,17,17,17,17,17,17,17,14,17
월세,인후동1가,한배미5길,19,19,19,19,19,19,19,19,14,19
월세,인후동1가,한배미6길,11,11,11,11,11,11,11,11,9,11
월세,인후동1가,한배미로,4,4,4,4,4,4,4,4,4,4
월세,인후동2가,거북바우로,10,10,10,10,10,10,10,10,10,10
월세,인후동2가,건지3길,4,4,4,4,4,4,4,4,3,4
월세,인후동2가,건지4길,9,9,9,9,9,9,9,9,7,9
월세,인후동2가,견훤왕궁로,5,5,5,5,5,5,5,5,5,5
월세,인후동2가,명주1길,10,10,10,10,10,10,10,10,7,10
월세,인후동2가,명주2길,11,11,11,11,11,11,11,11,7,11
월세,인후동2가,명주3길,3,3,3,3,3,3,3,3,2,3
월세,인후동2가,명주5길,2,2,2,2,2,2,2,2,2,2
월세,인후동2가,명주6길,4,4,4,4,4,4,4,4,4,4
월세,인후동2가,모래내6길,2,2,2,2,2,2,2,2,2,2
월세,인후동2가,모래내7길,1,1,1,1,1,1,1,1,1,1
월세,인후동2가,백동1길,1,1,1,1,1,1,1,1,1,1
월세,인후동2가,백동5길,1,1,1,1,1,1,1,1,0,1
월세,인후동2가,백동6길,4,4,4,4,4,4,4,4,3,4
월세,인후동2가,백동로,3,3,3,3,3,3,3,3,3,3
월세,인후동2가,심방죽3길,3,3,3,3,3,3,3,3,3,3
월세,인후동2가,심방죽6길,1,1,1,1,1,1,1,1,1,1
월세,인후동2가,심방죽로,2,2,2,2,2,2,2,2,1,2
