addr,lat,long,house_amount,park,river,cctv,pol,conv,bus,bus_stop,pharmacy,mono_avg_deposit_month,mono_avg_deposit_all,mono_avg_fee_month,mono_total_count_month,mono_total_count_all,row_avg_deposit_month,row_avg_deposit_all,row_avg_fee_month,row_total_count_month,row_total_count_all,office_avg_deposit_month,office_avg_deposit_all,office_avg_fee_month,office_total_count_month,office_total_count_all
전라북도 전주시 완산구 삼천동2가,127.11,35.79,1.0,1.0,2.0,16.0,0.0,2.0,17.0,16.0,12.0,0.0,0.0,0.0,1.0,1.0,2340.2,18667.0,42.2,6.0,4.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 완산구 용복동,127.09,35.78,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 완산구 삼천동3가,127.08,35.8,2.0,0.0,0.0,5.0,0.0,0.0,21.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 완산구 서신동,127.11,35.83,254.0,3.0,3.0,35.0,1.0,12.0,29.0,11.0,34.0,1429.366972477064,5695.566666666667,30.623853211009173,110.0,91.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 완산구 석구동,127.13,35.77,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,1.0,3001.0,10001.0,21.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 완산구 석구동,127.13,35.76,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 완산구 용복동,127.08,35.77,1.0,0.0,0.0,2.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 완산구 원당동,127.1,35.76,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 완산구 중인동,127.09,35.76,5.0,0.0,0.0,3.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 완산구 중인동,127.1,35.77,2.0,0.0,0.0,3.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 완산구 중화산동2가,127.12,35.82,413.0,4.0,3.0,49.0,0.0,11.0,21.0,15.0,39.0,2711.6553398058254,6629.3057324840765,29.441747572815533,207.0,158.0,2100.0833333333335,5166.777777777777,40.416666666666664,13.0,10.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 완산구 평화동2가,127.14,35.79,62.0,3.0,0.0,24.0,1.0,6.0,4.0,5.0,27.0,1608.439024390244,5982.178571428572,27.48780487804878,42.0,29.0,3441.181818181818,19001.0,22.545454545454547,12.0,2.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 완산구 평화동2가,127.13,35.78,53.0,1.0,1.0,13.0,0.0,5.0,54.0,2.0,11.0,1080.05,7525.0625,30.9,21.0,17.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
전라북도 전주시 완산구 평화동2가,127.14,35.78,7.0,0.0,0.0,5.0,0.0,2.0,,0.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
