전월세구분,dong,도로명,시군구,번지,도로조건,계약면적(㎡),계약년월,계약일,보증금(만원),월세(만원),건축년도,address
월세,평화동2가,평화4길,11,11,11,11,11,11,11,11,11,11
월세,평화동2가,평화6길,1,1,1,1,1,1,1,1,1,1
월세,평화동2가,평화7길,5,5,5,5,5,5,5,5,5,5
월세,평화동2가,평화8길,4,4,4,4,4,4,4,4,4,4
월세,평화동2가,평화로,1,1,1,1,1,1,1,1,1,1
월세,평화동3가,구이로,1,1,1,1,1,1,1,1,1,1
월세,평화동3가,난전들로,1,1,1,1,1,1,1,1,1,1
월세,풍남동1가,경기전길,2,2,2,2,2,2,2,2,2,2
월세,풍남동3가,최명희길,1,1,1,1,1,1,1,1,1,1
월세,효자동1가,거마평로,10,10,10,10,10,10,10,10,10,10
월세,효자동1가,따박골6길,1,1,1,1,1,1,1,1,1,1
월세,효자동1가,밤나무1길,4,4,4,4,4,4,4,4,4,4
월세,효자동1가,밤나무2길,9,9,9,9,9,9,9,9,8,9
월세,효자동1가,성지산1길,3,3,3,3,3,3,3,3,3,3
월세,효자동1가,성지산2길,1,1,1,1,1,1,1,1,1,1
월세,효자동1가,성지산3길,1,1,1,1,1,1,1,1,1,1
월세,효자동1가,성지산로,2,2,2,2,2,2,2,2,2,2
월세,효자동1가,송정로,3,3,3,3,3,3,3,3,3,3
월세,효자동1가,송정중앙로,1,1,1,1,1,1,1,1,1,1
월세,효자동1가,신봉1길,7,7,7,7,7,7,7,7,7,7
월세,효자동1가,신봉3길,3,3,3,3,3,3,3,3,3,3
월세,효자동1가,신봉4길,1,1,1,1,1,1,1,1,1,1
월세,효자동1가,신봉5길,5,5,5,5,5,5,5,5,5,5
월세,효자동1가,신봉로,2,2,2,2,2,2,2,2,2,2
월세,효자동1가,안행5길,2,2,2,2,2,2,2,2,2,2
월세,효자동1가,안행7길,1,1,1,1,1,1,1,1,1,1
월세,효자동1가,안행9길,2,2,2,2,2,2,2,2,2,2
월세,효자동1가,오두정1길,2,2,2,2,2,2,2,2,2,2
월세,효자동1가,오두정2길,1,1,1,1,1,1,1,1,1,1
월세,효자동1가,외칠봉1길,1,1,1,1,1,1,1,1,0,1
월세,효자동1가,용리로,2,2,2,2,2,2,2,2,2,2
월세,효자동1가,용머리로,11,11,11,11,11,11,11,11,11,11
월세,효자동1가,중화산로,1,1,1,1,1,1,1,1,1,1
월세,효자동1가,효동1길,1,1,1,1,1,1,1,1,1,1
월세,효자동1가,효동3길,2,2,2,2,2,2,2,2,1,2
월세,효자동1가,효자천변1길,7,7,7,7,7,7,7,7,7,7
월세,효자동2가,강변로,2,2,2,2,2,2,2,2,2,2
월세,효자동2가,구룡1길,38,38,38,38,38,38,38,38,34,38
월세,효자동2가,구룡2길,22,22,22,22,22,22,22,22,20,22
월세,효자동2가,바우배기2길,1,1,1,1,1,1,1,1,1,1
월세,효자동2가,범안1길,7,7,7,7,7,7,7,7,6,7
