전월세구분,dong,도로명,계약면적(㎡),계약년월,계약일,보증금(만원),월세(만원),건축년도,loc,x,y,번지,번지.1,번지.1.1,번지.1.1.1,번지
월세,중화산동1가,따박골9길,48.16666666666666,202038.0,12.666666666666664,2516.6666666666665,32.5,2015.0,전북 전주시 중화산동1가 따박골9길,127.13021428299999,35.809918465,6,6,6,6,6
월세,중화산동1가,서원로,38.0,202010.5,29.0,350.0,37.5,2016.0,전북 전주시 중화산동1가 서원로,127.12119683899999,35.812509585,2,2,2,2,2
월세,중화산동1가,선너머3길,39.03916666666667,202024.75,15.333333333333336,1150.0,31.66666666666667,2010.2727272727273,전북 전주시 중화산동1가 선너머3길,127.130841135,35.813536749,12,12,12,12,12
월세,중화산동1가,선너머4길,36.145,202007.5,20.5,1750.0,22.5,2012.0,전북 전주시 중화산동1가 선너머4길,127.132077935,35.813717565,2,2,2,2,2
월세,중화산동2가,따박골2길,59.7,202011.0,9.5,750.0,30.0,1991.0,전북 전주시 중화산동2가 따박골2길,127.124804579,35.810887384000004,2,2,2,2,2
월세,중화산동2가,따박골5길,43.11333333333334,202007.66666666663,11.666666666666664,516.6666666666666,23.33333333333333,1993.0,전북 전주시 중화산동2가 따박골5길,127.128285291,35.808234027,3,3,3,3,3
월세,중화산동2가,따박골6길,64.91666666666667,202008.66666666663,19.33333333333333,1833.333333333333,23.33333333333333,1990.333333333333,전북 전주시 중화산동2가 따박골6길,127.128811006,35.808472861,3,3,3,3,3
월세,중화산동2가,따박골8길,57.875,202018.75,18.375,787.5,57.875,2020.0,전북 전주시 중화산동2가 따박골8길,127.12915724700001,35.811623005,8,8,8,8,8
월세,중화산동2가,따박골9길,36.66666666666666,202005.66666666663,13.333333333333336,666.6666666666666,39.0,2016.0,전북 전주시 중화산동2가 따박골9길,127.13155012700001,35.80922873,3,3,3,3,3
월세,중화산동2가,따박골로,30.0,202006.0,24.0,300.0,34.0,1991.0,전북 전주시 중화산동2가 따박골로,127.124427063,35.81010042,1,1,1,1,1
월세,중화산동2가,메너머1길,56.96923076923078,202059.0,20.23076923076923,1538.4615384615383,29.615384615384606,2006.3636363636365,전북 전주시 중화산동2가 메너머1길,127.121905411,35.821180161,13,13,13,13,13
월세,중화산동2가,메너머2길,44.43783783783784,202025.40540540536,15.945945945945946,2518.918918918919,31.135135135135137,2011.8285714285714,전북 전주시 중화산동2가 메너머2길,127.121817191,35.82259223,37,37,37,37,37
월세,중화산동2가,메너머3길,43.047096774193534,202038.29032258067,16.419354838709676,2516.1290322580644,31.032258064516128,2014.333333333333,전북 전주시 중화산동2가 메너머3길,127.121560425,35.823717101999996,31,31,31,31,31
월세,중화산동2가,메너머4길,48.84166666666667,202023.16666666663,14.666666666666664,2116.6666666666665,26.33333333333333,2014.833333333333,전북 전주시 중화산동2가 메너머4길,127.12158197,35.824817773,6,6,6,6,6
월세,중화산동2가,산월1길,164.69,202006.0,16.0,6500.0,27.5,2001.0,전북 전주시 중화산동2가 산월1길,127.122038216,35.812895138,2,2,2,2,2
월세,중화산동2가,산월2길,56.84333333333333,202041.0,18.0,600.0,28.33333333333333,1996.666666666667,전북 전주시 중화산동2가 산월2길,127.12172134299999,35.81393258,3,3,3,3,3
월세,중화산동2가,서원로,30.0,202004.0,22.0,500.0,25.0,2002.0,전북 전주시 중화산동2가 서원로,127.11732597,35.813179726,1,1,1,1,1
월세,중화산동2가,선너머1길,50.0,202011.0,5.0,500.0,44.0,2003.0,전북 전주시 중화산동2가 선너머1길,127.127890469,35.812367708000004,1,1,1,1,1
