건물명(상호명),건물위치,주택유형구분,세대수(객실수),건축연도
,전라북도 전주시 덕진구 금암동 161-3,단독주택(다가구주택),9,20020822
,전라북도 전주시 덕진구 금암동 163,단독주택(12가구),12,20011211
,전라북도 전주시 덕진구 금암동 198-4,"근린생활시설, 다세대주택, 제2종근린생활시설",1,19890706
,전라북도 전주시 덕진구 금암동 214-23,"다세대주택(4세대), 점포",4,19890727
,전라북도 전주시 덕진구 금암동 455-14,단독주택(다가구주택(5가구)),5,20201012
,전라북도 전주시 덕진구 금암동 456-6,단독주택(다가구주택),10,19780810
,전라북도 전주시 덕진구 금암동 456-9,단독주택,2,20031220
,전라북도 전주시 덕진구 금암동 457-16,"근린생활시설, 단독주택(다가구주택)",16,19800915
,전라북도 전주시 덕진구 금암동 462-13,"단독주택, 제1종근린생활시설",10,20120619
,전라북도 전주시 덕진구 금암동 470-19,단독주택,11,20130218
,전라북도 전주시 덕진구 금암동 471-2,"단독주택(다가구주택), 제2종근린생활시설",19,20021005
,전라북도 전주시 덕진구 금암동 473-6,단독주택,15,19870930
